product_name,image,price,link 
OcUK Gaming Firefly Enthusiast - Intel Core i7 9700K| GeForce RTX 2070 Super, https://www.overclockers.co.uk/media/image/thumbnail/FS1DZOG_232977_210x210.jpg, £1|599.95 , https://www.overclockers.co.uk/ocuk-gaming-firefly-enthusiast-intel-core-i7-9700k-geforce-rtx-2070-super-fs-1dz-og.html
OcUK Gaming Enigma Enthusiast - Ryzen 7 3700X| GeForce RTX 2070 Super, https://www.overclockers.co.uk/media/image/thumbnail/FS1DWOG_232558_210x210.png, £1|349.99 , https://www.overclockers.co.uk/ocuk-gaming-enigma-enthusiast-ryzen-7-3700x-geforce-rtx-2070-super-fs-1dw-og.html
OcUK Gaming Spectra Gaming PC - Intel Core i5 9400F, https://www.overclockers.co.uk/media/image/thumbnail/FS1D7OG_197618_210x210.jpg, £719.99 , https://www.overclockers.co.uk/ocuk-gaming-spectra-gaming-pc-intel-core-i5-9400f-fs-1d7-og.html
OcUK Gaming Firefly Essential - Intel Core i5 9400F| GeForce RTX 2060 Super, https://www.overclockers.co.uk/media/image/thumbnail/FS1DXOG_232567_210x210.jpg, £899.99 , https://www.overclockers.co.uk/ocuk-gaming-firefly-essential-intel-core-i5-9400f-geforce-rtx-2060-super-fs-1dx-og.html
OcUK Gaming Hoplite - AMD Ryzen 7 3700X Gaming PC, https://www.overclockers.co.uk/media/image/thumbnail/FS1DHOG_210081_210x210.png, £1|199.99 , https://www.overclockers.co.uk/ocuk-gaming-hoplite-amd-ryzen-7-3700x-gaming-pc-fs-1dh-og.html
OcUK Gaming Kinetic ZX - Intel Z390 Configurable Coffee Lake Refresh DDR4 Gaming PC, https://www.overclockers.co.uk/media/image/thumbnail/FS153OG_197321_210x210.jpg, £1|349.99 , https://www.overclockers.co.uk/ocuk-gaming-kinetic-zx-intel-z390-configurable-coffee-lake-refresh-ddr4-gaming-pc-fs-153-og.html
OcUK Gaming Germanium X Overclocked Gaming PC - Intel Core i9 9900K @ 4.8GHz, https://www.overclockers.co.uk/media/image/thumbnail/FS1D3OG_194355_210x210.jpg, £2|149.99 , https://www.overclockers.co.uk/ocuk-gaming-germanium-x-overclocked-gaming-pc-intel-core-i9-9900k-4.8ghz-fs-1d3-og.html
OcUK Tech Labs Intel 9th Gen "Coffee Lake" Midi Tower Gaming PC Configurator, https://www.overclockers.co.uk/media/image/thumbnail/FS01MTL_253636_210x210.png, £789.86 , https://www.overclockers.co.uk/ocuk-tech-labs-intel-9th-gen-coffee-lake-midi-tower-gaming-pc-configurator-fs-01m-tl.html
OcUK Gaming Vision VR Gaming PC - Intel 9th Generation 3.6GHz (4.2GHz Turbo) Quad Core, https://www.overclockers.co.uk/media/image/thumbnail/FS1C5OG_177140_210x210.jpg, £749.99 , https://www.overclockers.co.uk/ocuk-gaming-vision-vr-gaming-pc-intel-9th-generation-3.6ghz-4.2ghz-turbo-quad-core-fs-1c5-og.html
OcUK Gaming Bayonet Pro Gaming PC - AMD Ryzen 9 3950X, https://www.overclockers.co.uk/media/image/thumbnail/FS124OG_234970_210x210.jpg, £2|099.99 , https://www.overclockers.co.uk/ocuk-gaming-bayonet-pro-gaming-pc-amd-ryzen-9-3950x-fs-124-og.html
